lig_name,LF Rank Score,LF dG,LF VSscore
JAG-UCB-52b62a6f-7	JAG-UCB-52b62a6f-7			99.0			99.5						False	False	3-a_D,-7.336,-8.587,-9.496
JAG-UCB-52b62a6f-8	JAG-UCB-52b62a6f-8			99.0									False	False	3-amino_D,-7.951,-8.871,-10.303
JAG-UCB-52b62a6f-9	JAG-UCB-52b62a6f-9			99.0									False	False	3-amino_D,-12.495,-9.159,-10.657
JAG-UCB-52b62a6f-10	JAG-UCB-52b62a6f-10			53.41268683			61.50219391	4.21_D,-6.951,-8.136,-9.357
JAG-UCB-52b62a6f-11	JAG-UCB-52b62a6f-11			99.0			99.5						False	False	3_D,-6.839,-6.938,-8.526
JAG-UCB-52b62a6f-12	JAG-UCB-52b62a6f-12			99.0			99.5						False	False	3_D,-6.979,-8.364,-9.433
JAG-UCB-52b62a6f-13	JAG-UCB-52b62a6f-13			99.0			99.5						False	False	3_D,-7.236,-7.843,-9.133
JAG-UCB-52b62a6f-15	JAG-UCB-52b62a6f-15			74.1728477			99.5						False	F_D,-6.293,-7.498,-8.788
JAG-UCB-52b62a6f-19	JAG-UCB-52b62a6f-19			98.08861861			25.97764279	4.58_D,-10.011,-7.496,-9.387
BEN-DND-b89db3f2-2	BEN-DND-b89db3f2-2			99.0			99.5						False	False	3-a_D,-6.828,-7.723,-11.413
MAT-POS-500ca5bf-2	MAT-POS-500ca5bf-2		0.0	99.0									False	False	Ugi_D,-5.539,-7.025,-7.851
ALP-POS-7c842ab8-1	ALP-POS-7c842ab8-1			99.0			99.5					127.114588700000_D,-6.025,-7.204,-8.901
EDJ-MED-50011917-1	EDJ-MED-50011917-1			4.420819863			4.567054713	5.3403_D,-7.348,-8.701,-10.150
MAT-POS-8a69d52e-2	MAT-POS-8a69d52e-2			2.655065335			0.679289734	6.1679_D,-6.843,-7.269,-8.631
MAT-POS-8a69d52e-3	MAT-POS-8a69d52e-3			99.0			52.07061386	4.283407302_D,-7.218,-7.715,-8.991
MAT-POS-8a69d52e-5	MAT-POS-8a69d52e-5			79.5696594			99.5					170.528300_D,-6.507,-7.738,-9.022
MAT-POS-8a69d52e-6	MAT-POS-8a69d52e-6			35.12635706			99.5					83.829737_D,-6.946,-7.933,-9.090
MAT-POS-8a69d52e-7	MAT-POS-8a69d52e-7			1.829709307			1.713488243	5.7661_D,-6.924,-8.443,-9.382
DAR-DIA-6a508060-7	DAR-DIA-6a508060-7			99.0			99.5								3-aminopyridi_D,-6.822,-8.031,-9.162
MAR-UCB-f313ec4d-2	MAR-UCB-f313ec4d-2			5.780678924			3.241304528	5.4892_D,-6.659,-6.825,-8.189
